iter,arm,env_steps,mean_return,collisions,cum_collisions,goals,goal_rate
89,unshielded,354159,-0.36375276640139276,30,613,2,0.05
90,unshielded,356083,5.752952694508143,18,631,2,0.05
91,unshielded,357918,3.945835526006353,15,646,1,0.025
92,unshielded,359665,3.9272315736757135,7,653,1,0.025
93,unshielded,361408,3.5055139996788482,1,654,0,0.0
94,unshielded,363158,-0.0980743691722692,0,654,0,0.0
95,unshielded,365279,-1.6998826279467045,0,654,0,0.0
96,unshielded,367488,-1.8707748960840387,0,654,0,0.0
97,unshielded,371200,-0.6285019568647435,0,654,0,0.0
98,unshielded,376182,-0.36631350713962496,0,654,0,0.0
99,unshielded,381633,0.3745976829937838,0,654,0,0.0
100,unshielded,387351,0.5742781666967608,0,654,0,0.0
101,unshielded,393751,1.0986169128171273,0,654,0,0.0
102,unshielded,400151,1.0058769764699549,0,654,0,0.0
103,unshielded,406551,0.9158279921884857,0,654,0,0.0
104,unshielded,412834,0.6210304821702988,0,654,0,0.0
105,unshielded,419234,0.5994464092875486,0,654,0,0.0
106,unshielded,425634,0.6705033184811333,0,654,0,0.0
107,unshielded,432034,0.6410766981334273,0,654,0,0.0
108,unshielded,438434,0.7019530762121521,0,654,0,0.0
109,unshielded,444834,0.7076550722140345,0,654,0,0.0
110,unshielded,451234,0.7971414006025536,0,654,0,0.0
111,unshielded,457519,0.5623828186214419,0,654,0,0.0
112,unshielded,463919,0.7559024561551898,0,654,0,0.0
113,unshielded,470319,0.8145910446109716,0,654,0,0.0
114,unshielded,476719,0.8132217805559542,0,654,0,0.0
115,unshielded,483119,0.7452305519285927,0,654,0,0.0
116,unshielded,489519,1.0140345463009883,0,654,0,0.0
117,unshielded,495702,0.5529706289317057,0,654,0,0.0
118,unshielded,501986,0.7972667412133,0,654,0,0.0
119,unshielded,508386,1.0626336197151247,0,654,0,0.0
120,unshielded,514786,0.7842368367482587,0,654,0,0.0
121,unshielded,521186,0.8403362080024224,0,654,0,0.0
122,unshielded,527235,0.49562791369777975,0,654,0,0.0
123,unshielded,533518,0.6259784042730663,0,654,0,0.0
124,unshielded,539918,0.8581504147680569,0,654,0,0.0
125,unshielded,546201,0.8515076973437079,0,654,0,0.0
126,unshielded,552486,0.9392547564053639,0,654,0,0.0
127,unshielded,558769,0.7573354237511476,0,654,0,0.0
128,unshielded,565169,1.0001813272202607,0,654,0,0.0
129,unshielded,571458,0.8740902588216443,0,654,0,0.0
130,unshielded,577391,0.6642973699873431,0,654,0,0.0
131,unshielded,583674,1.08927011832995,0,654,0,0.0
132,unshielded,589864,0.9226871833125081,0,654,0,0.0
133,unshielded,596037,1.0882453884438,0,654,0,0.0
134,unshielded,602202,0.9741837027670437,0,654,0,0.0
135,unshielded,608251,0.8091875152329638,0,654,0,0.0
136,unshielded,614534,1.2659267136531969,0,654,0,0.0
137,unshielded,620701,1.0926357032047243,0,654,0,0.0
138,unshielded,626759,0.9950834026685612,0,654,0,0.0
139,unshielded,632814,0.7708199580332629,0,654,0,0.0
140,unshielded,638990,1.0436824780372749,0,654,0,0.0
141,unshielded,645390,1.2372845987097472,0,654,0,0.0
142,unshielded,651673,0.9067528691401894,0,654,0,0.0
143,unshielded,658073,0.94399576678646,0,654,0,0.0
144,unshielded,664473,0.8882347751648385,0,654,0,0.0
145,unshielded,670873,0.747176389943246,0,654,0,0.0
146,unshielded,677273,0.7240539078918748,0,654,0,0.0
147,unshielded,683673,0.7615330056139664,0,654,0,0.0
148,unshielded,690073,0.6629291146636457,0,654,0,0.0
149,unshielded,696473,0.7641987351823001,0,654,0,0.0
