arm,seed,update,env_steps,mean_return,goal_rate,cum_collisions,n_episodes
shielded,0,77,319488,8.274044112645653,0.0,0,24
shielded,0,78,323584,11.353932567628146,0.0,0,25
shielded,0,79,327680,12.873947539278797,0.0,0,27
shielded,0,80,331776,11.254941937762883,0.034482758620689655,0,29
shielded,0,81,335872,9.254367533995506,0.0,0,29
shielded,0,82,339968,10.190712017195288,0.0,0,25
shielded,0,83,344064,12.169905038373017,0.04,0,25
shielded,0,84,348160,7.6693065366875635,0.0,0,24
shielded,0,85,352256,13.833113485557911,0.0,0,28
shielded,0,86,356352,12.957916102608904,0.07407407407407407,0,27
shielded,0,87,360448,13.608329703231192,0.07142857142857142,0,28
shielded,0,88,364544,13.146485328104564,0.04,0,25
shielded,0,89,368640,10.499008272693843,0.0,0,27
shielded,0,90,372736,7.8501144973757375,0.0,0,26
shielded,0,91,376832,11.942116109332192,0.0,0,31
shielded,0,92,380928,11.225717349711257,0.0,0,27
shielded,0,93,385024,10.846437407665892,0.0,0,25
shielded,0,94,389120,13.590793246290787,0.08695652173913043,0,23
shielded,0,95,393216,7.34380609062087,0.0,0,27
shielded,0,96,397312,10.941439284412004,0.0,0,23
shielded,1,0,4096,2.48216092894872,0.0,0,20
shielded,1,1,8192,6.24689949140233,0.0,0,20
shielded,1,2,12288,5.8837294251964005,0.0,0,26
shielded,1,3,16384,5.076971022284668,0.0,0,23
shielded,1,4,20480,4.694827817502868,0.0,0,25
shielded,1,5,24576,9.119070621209305,0.0,0,24
shielded,1,6,28672,6.8440740355064005,0.0,0,27
shielded,1,7,32768,5.345990023498284,0.0,0,24
shielded,1,8,36864,5.514796251111569,0.0,0,23
shielded,1,9,40960,9.762288868448506,0.0,0,27
shielded,1,10,45056,5.907384407488241,0.0,0,27
shielded,1,11,49152,11.397891287594922,0.04,0,25
shielded,1,12,53248,12.735005730105811,0.08333333333333333,0,24
shielded,1,13,57344,11.145191040997295,0.041666666666666664,0,24
shielded,1,14,61440,8.796989980405732,0.0,0,24
shielded,1,15,65536,10.941593301506101,0.038461538461538464,0,26
shielded,1,16,69632,6.736363766396862,0.0,0,25
shielded,1,17,73728,9.084394125923795,0.043478260869565216,0,23
shielded,1,18,77824,7.350752672051586,0.0,0,26
shielded,1,19,81920,9.029839706647595,0.03225806451612903,0,31
shielded,1,20,86016,7.651991611159876,0.0,0,26
shielded,1,21,90112,9.130922429389441,0.0,0,26
shielded,1,22,94208,9.307261918139654,0.041666666666666664,0,24
shielded,1,23,98304,8.295866500199976,0.0,0,28
shielded,1,24,102400,8.35038623556577,0.0,0,26
shielded,1,25,106496,8.921944678060072,0.0,0,23
shielded,1,26,110592,6.094504192606888,0.0,0,21
shielded,1,27,114688,9.056939246291448,0.043478260869565216,0,23
shielded,1,28,118784,5.629251449041215,0.0,0,25
shielded,1,29,122880,9.425595815473432,0.0,0,26
shielded,1,30,126976,11.138626560987168,0.0,0,25
shielded,1,31,131072,7.5182735437437325,0.0,0,22
shielded,1,32,135168,7.358011864659607,0.0,0,22
shielded,1,33,139264,12.248128394203848,0.07407407407407407,0,27
shielded,1,34,143360,7.694273385575246,0.0,0,22
shielded,1,35,147456,10.820705291636598,0.0,0,21
shielded,1,36,151552,8.200299022862396,0.0,0,22
shielded,1,37,155648,8.499880333429779,0.0,0,22
shielded,1,38,159744,14.503003270707271,0.07692307692307693,0,26
shielded,1,39,163840,10.96794307402037,0.0,0,22
shielded,1,40,167936,10.948104780971812,0.0,0,31
shielded,1,41,172032,10.023467260064315,0.0,0,24
shielded,1,42,176128,9.60839734956494,0.045454545454545456,0,22
shielded,1,43,180224,8.669725206043447,0.0,0,22
shielded,1,44,184320,8.992265820630402,0.0,0,25
shielded,1,45,188416,13.494742033272246,0.08333333333333333,0,24
shielded,1,46,192512,9.689014788272482,0.0,0,23
shielded,1,47,196608,9.162142143990728,0.034482758620689655,0,29
shielded,1,48,200704,6.512291241086815,0.0,0,22
shielded,1,49,204800,9.091094751317002,0.0,0,24
shielded,1,50,208896,11.449754003287238,0.0,0,23
shielded,1,51,212992,10.42438106298741,0.0,0,25
shielded,1,52,217088,10.067391257543365,0.0,0,25
shielded,1,53,221184,12.541641407077417,0.045454545454545456,0,22
shielded,1,54,225280,8.905001141932818,0.0,0,23
shielded,1,55,229376,11.915755030055466,0.04,0,25
shielded,1,56,233472,10.324935663262094,0.04,0,25
shielded,1,57,237568,10.501693792084511,0.04,0,25
shielded,1,58,241664,8.79356700173141,0.0,0,23
shielded,1,59,245760,10.192778048531578,0.0,0,25
shielded,1,60,249856,8.967656830028487,0.045454545454545456,0,22
shielded,1,61,253952,11.730265491519761,0.045454545454545456,0,22
shielded,1,62,258048,7.808894944666403,0.0,0,22
shielded,1,63,262144,8.980607018562994,0.0,0,22
shielded,1,64,266240,12.06104396875648,0.041666666666666664,0,24
shielded,1,65,270336,6.4048790239831135,0.0,0,23
shielded,1,66,274432,10.212147841711198,0.041666666666666664,0,24
shielded,1,67,278528,8.952583266606583,0.0,0,24
shielded,1,68,282624,8.891262737442188,0.0,0,22
shielded,1,69,286720,11.443768514484285,0.0,0,24
shielded,1,70,290816,7.1246819279026745,0.0,0,21
shielded,1,71,294912,11.290113218050292,0.0,0,27
shielded,1,72,299008,9.266558543798382,0.043478260869565216,0,23
shielded,1,73,303104,7.998040677443521,0.0,0,25
shielded,1,74,307200,12.696728749427088,0.045454545454545456,0,22
shielded,1,75,311296,11.22276156297985,0.08333333333333333,0,24
shielded,1,76,315392,9.26338852879458,0.03571428571428571,0,28
shielded,1,77,319488,13.249430639959062,0.06060606060606061,0,33
shielded,1,78,323584,11.818663249779108,0.037037037037037035,0,27
shielded,1,79,327680,14.160581202045122,0.07142857142857142,0,28
shielded,1,80,331776,10.26855097086587,0.041666666666666664,0,24
shielded,1,81,335872,8.533387185956682,0.0,0,25
shielded,1,82,339968,11.415514682625194,0.0,0,33
shielded,1,83,344064,9.946639051114035,0.04,0,25
shielded,1,84,348160,10.852378095350753,0.03571428571428571,0,28
shielded,1,85,352256,9.649237226558073,0.0,0,26
shielded,1,86,356352,11.974820492352544,0.08333333333333333,0,24
shielded,1,87,360448,13.19495989129268,0.037037037037037035,0,27
shielded,1,88,364544,11.847723349943873,0.043478260869565216,0,23
shielded,1,89,368640,9.61636636416492,0.0,0,25
shielded,1,90,372736,8.347099481794709,0.0,0,25
shielded,1,91,376832,9.605422204023483,0.0,0,21
shielded,1,92,380928,10.719251103290174,0.0,0,23
shielded,1,93,385024,9.28802681441771,0.0,0,22
